Gender,Height,Weight
Male,73.847017,241.893563
Male,68.781904,162.310473
Male,74.110105,212.740856
Male,71.730978,220.04247
Male,69.881796,206.349801
Male,67.253016,152.212156
Male,68.785081,183.927889
Male,68.348516,167.97111
Male,67.01895,175.92944
Male,63.456494,156.399676
Male,71.195382,186.604926
Male,71.640805,213.741169
Male,64.766329,167.127461
Male,69.28307,189.446181
Male,69.243732,186.434168
Male,67.64562,172.18693
Male,72.418317,196.028506
Male,63.974326,172.88347
Male,69.64006,185.983958
Male,67.936005,182.426648
Male,67.91505,174.115929
Male,69.43944,197.731422
Male,66.149132,149.173566
Male,75.205974,228.761781
Male,67.893196,162.006652
Male,68.144033,192.343977
Male,69.089631,184.435174
Male,72.800844,206.828189
Male,67.421242,175.213922
Male,68.496415,154.342639
Male,68.618111,187.506843
Male,74.033808,212.910225
Male,71.528216,195.032243
Male,69.180161,205.183621
Male,69.577202,204.164125
Male,70.400929,192.903515
Male,69.076171,197.488243
Male,67.193523,183.810973
Male,65.807316,163.851825
Male,64.304188,163.108017
Male,67.974336,172.135597
Male,72.189426,194.045405
Male,65.270346,168.617746
Male,66.090177,161.193433
Male,67.510322,164.660277
Male,70.104786,188.922303
Male,68.251836,187.060552
Male,72.172709,209.070863
Male,69.179858,192.014335
Male,72.87036,211.342497
Male,64.782583,165.611626
Male,70.18355,201.071918
Male,68.49145,173.42396
Male,67.330831,181.407679
Male,66.990944,169.737707
Male,66.49955,163.309528
Male,68.353057,189.71021
Male,70.774459,192.124847
Male,71.215924,198.198464
Male,70.013365,209.5265
Male,71.403182,198.759793
Male,69.552005,198.079524
Male,73.818535,195.290612
Male,66.996883,164.943303
Male,71.418466,179.863902
Male,65.2793,155.250421
Male,68.274191,184.519391
Male,72.76537,220.678041
Male,68.09938,183.312655
Male,68.896706,196.451312
Male,69.28951,184.595608
Male,70.523225,207.532839
Male,69.663725,177.200929
Male,67.595269,163.108002
Male,72.50812,216.21823
Male,71.252986,204.655494
Male,71.809187,200.920571
Male,72.245165,220.90177
Male,66.512628,196.44986
Male,66.029034,168.64081
Male,67.577154,181.432713
Male,68.246569,198.658673
Male,73.826127,237.916736
Male,69.802464,173.041256
Male,65.959578,160.683917
Male,71.079018,188.602919
Male,66.596197,208.345694
Male,68.951535,193.435118
Male,68.244462,174.109694
Male,72.316825,197.368589
Male,71.81542,201.620667
Male,65.23705,181.011973
Male,70.64053,182.122486
Male,64.731926,177.549263
Male,67.103551,164.974581
Male,65.117485,165.717112
Male,71.701234,193.094164
Male,66.832878,180.683887
Male,66.471275,172.773723
Male,69.411526,177.470616
Male,70.052177,200.818737
Male,66.743605,167.739775
Male,66.274329,154.395625
Male,68.328448,177.984729
Male,70.075888,183.938857
Male,68.732988,179.204782
Male,67.556051,158.567987
Male,66.253633,166.503532
Male,69.182203,171.983678
Male,67.609105,174.364182
Male,69.292738,187.745352
Male,68.190684,201.487962
Male,71.607086,204.927012
Male,69.196858,178.685546
Male,67.261961,164.014428
Male,73.685193,223.270004
Male,69.537215,202.958306
Male,68.31156,189.391786
Male,67.738963,178.170556
Male,71.705763,223.299335
Male,63.632265,167.028707
Male,68.721198,180.468682
Male,66.949342,164.439146
Male,62.70699,149.969618
Male,72.258409,192.910267
Male,70.908653,201.883999
Male,67.609844,179.868026
Male,70.801559,196.467725
Male,69.304769,187.551649
Male,66.242898,171.69316
Male,67.492193,191.699605
Male,65.806248,165.850648
Male,71.443706,185.662741
Male,68.464406,178.281801
Male,63.987925,150.979051
Male,71.001898,209.929323
Male,68.139724,174.157804
Male,68.3954,179.878977
Male,68.09622,167.747141
Male,68.14059,183.04466
Male,68.86009,169.556821
Male,66.148853,173.431673
Male,66.206032,180.889555
Male,67.43212,183.508933
Male,69.471106,205.97791
Male,70.51586,183.759845
Male,71.338376,201.954495
Male,71.001945,216.120095
Male,66.202348,159.390324
Male,72.543307,210.336425
Male,67.479352,178.61835
Male,65.350411,146.739798
Male,70.844062,195.937015
Male,69.938475,170.175854
Male,64.739815,169.654054
Male,69.308403,198.378694
Male,68.838463,179.907717
Male,61.937323,147.263687
Male,68.593336,176.984251
Male,65.218576,185.467788
Male,64.333648,177.493802
Male,68.748907,169.827477
Male,72.489655,198.581698
Male,67.233931,203.350339
Male,67.263605,193.217673
Male,65.118504,178.134945
Male,66.26282,162.779583
Male,67.70168,159.286511
Male,65.530696,172.114312
Male,69.86897,201.837043
Male,68.481875,170.35233
Male,72.213963,205.389761
Male,68.179533,169.787768
Male,71.981207,200.437311
Male,66.065137,178.588954
Male,66.656164,168.01403
Male,67.599424,177.766426
Male,68.245944,193.277624
Male,64.808621,162.379541
Male,67.492218,183.383824
Male,68.180731,181.056095
Male,69.553385,210.871799
Male,66.40225,165.568499
Male,66.592157,196.14845
Male,71.935887,202.046425
Male,68.287042,170.413602
Male,69.955451,201.948085
Male,71.851129,193.386985
Male,65.755499,179.85569
Male,67.031852,156.489935
Male,76.709835,235.035419
Male,72.571121,230.560535
Male,69.728805,203.895655
Male,72.799224,218.216397
Male,72.539354,222.667178
Male,72.294743,208.474866
Male,67.253325,180.77978
Male,75.94446,231.924749
Male,66.316232,170.593858
Male,71.156053,188.271456
Male,71.192202,196.061529
Male,72.197512,214.603584
Male,75.140821,224.124271
Male,64.411529,158.579397
Male,64.734424,166.501115
Male,63.414587,160.140616
Male,67.848665,176.172634
Male,65.931785,174.485295
Male,70.96655,193.906499
Male,67.580747,186.991607
Male,68.58927,173.595796
Male,70.324753,193.34656
Male,72.39448,208.436509
Male,70.820857,206.032978
Male,65.903301,172.575231
Male,74.795375,232.635403
Male,67.680919,177.240145
Male,67.155963,175.64669
Male,71.774841,212.626102
Male,64.665232,166.969204
Male,68.122768,196.414415
Male,66.786927,165.431242
Male,66.80585,176.565819
Male,67.886014,174.652035
Male,69.173577,195.237529
Male,70.224923,205.684438
Male,64.855799,158.341442
Male,67.821093,169.081008
Male,63.440247,135.655876
Male,71.848435,218.157469
Male,66.728074,155.899541
Male,71.968306,201.528177
Male,76.021347,235.926061
Male,71.476101,195.392618
Male,67.369809,176.636164
Male,70.555244,198.460249
Male,69.867101,185.71691
Male,67.94757,177.34778
Male,74.104559,215.759704
Male,69.167836,187.02242
Male,66.557229,171.587884
Male,66.701605,172.839809
Male,67.246065,168.280287
Male,69.051385,163.820489
Male,70.672747,190.023434
Male,65.498995,156.869952
Male,65.187221,172.606483
Male,67.568143,169.063983
Male,73.815386,231.374508
Male,71.606564,207.250477
Male,67.724749,172.152772
Male,68.231132,199.827758
